word;nSub;ValenceM;ValenceSD;ArousalM;ArousalSD;HappyM;HappySD;AngerM;AngerSD;SadM;SadSD;FearM;FearSD;DisgustM;DisgustSD;ConcretenessM;ConcretenessSD
BUNALTICI;41;1.815789474;1.182193636;4.894736842;2.68921242;6.774193548;12.20303153;39.73333333;34.55922785;47.70967742;30.49174046;42.3;32.94629904;50.96774194;37.46597022;30.125;34.2700377
AÇGÖZLÜLÜK;38;1.594594595;0.926746383;5.432432432;2.167186355;6.272727273;12.75066843;62.75;31.65744065;45.72727273;37.4501942;27.93548387;36.46544984;51.14705882;35.92849157;22.90909091;25.11021161
AKREP;38;2.789473684;1.726704324;5.789473684;2.642254307;10.6969697;19.19225894;19.8125;28.53683245;20.65625;28.65772358;70.47058824;32.73792657;51.15151515;40.98789548;95.45714286;8.732437356
KAŞINTI;37;4.513513514;2.91186864;6.054054054;2.57062407;9.28125;18.08445131;54.41176471;33.80973291;34.87096774;35.11290545;17.4516129;26.32215633;51.25;38.77312005;81.97142857;19.34438011
TÜFEK;40;2.9;1.905457748;6.4;2.216488329;17.63636364;25.86964701;55.78125;36.26847416;55.05882353;35.81936261;67.42105263;30.07614802;51.59375;35.86701187;88.13513514;17.85615699
ZÜPPE;36;2.083333333;1.461408323;5.027777778;2.261303178;12.5;18.07601793;54.65517241;35.69641425;30.53125;30.12766853;25.59375;29.38603945;51.83870968;34.39389168;53.42424242;29.57831797
KALİTESİZ;40;2.3;1.343550596;5.2;2.366431913;6.71875;12.24806601;55.13333333;33.60801765;51.63333333;30.57887859;26.09677419;28.48900939;52.03030303;31.59458503;33.61764706;26.9590202
NEFRET;38;4.552631579;3.739470756;6.184210526;2.369345481;4.638888889;11.26347517;77.08108108;29.11507664;55.25;36.97750281;51.66666667;38.00665398;52.3030303;35.90829017;19.94444444;30.28997424
ZIRLAMAK;36;1.944444444;1.835280351;5.138888889;2.641999003;2.266666667;5.854166411;70.9;28.55043933;40.86666667;38.8593692;24;29.70329467;52.34482759;35.72341755;63.63333333;31.14425096
EKŞİMİŞ;38;2.918918919;1.800900676;5.405405405;2.254125347;12.29411765;17.83175481;17.41176471;27.7282458;22.23529412;24.66878634;14.05882353;23.37823538;52.37142857;35.67919621;63.44444444;30.7872371
SUİKASTÇI;38;1.864864865;1.475017178;6.027027027;2.650854018;8.909090909;15.34878586;73.25806452;32.19313358;71.2;31.48442417;71.14705882;33.90193733;52.39285714;41.31391953;85.13888889;17.72512789
TEHDİT;41;2.024390244;1.795658721;6.317073171;2.433505952;6.131578947;12.5206231;71.97222222;30.8076856;50.73684211;36.23771681;67.64102564;32.22003886;52.53846154;34.08337004;37.27777778;34.26002344
LARVA;36;3.628571429;1.864304227;4.257142857;2.489304854;13.34375;22.96506375;9.65625;20.69222914;6.25;13.99308585;28.625;33.67755067;52.55882353;39.33014202;89.72727273;15.84154492
ALERJİ;35;2.484848485;1.88946441;5.333333333;2.245365598;10.10714286;17.40868086;42.55555556;37.40972039;54.44444444;33.19329559;50.48275862;32.53857128;52.57142857;34.82913698;74.8;26.55170622
KÜÇÜMSEYEN;37;3.837837838;3.122619213;5.162162162;2.576749821;3.90625;10.74742092;65.9375;34.01322086;48.24242424;36.99749172;28.70967742;36.63804357;52.70588235;33.43426786;36.18181818;30.30517133
SAYGISIZ;39;1.923076923;1.20053969;5.717948718;2.361408121;5.393939394;12.49984848;72.81081081;30.69187174;45.1875;35.62659165;27.83870968;35.28748293;52.74193548;36.55495201;33.62857143;34.76905801
BAYAT;40;2.65;1.424150669;4.525;2.44935889;8.131578947;13.37842364;37.13157895;37.8511816;38;32.35870384;21.32432432;29.62080168;52.9;36.93709136;76.525;26.20333459
KAN;32;3.40625;2.153157846;6.5625;2.093576967;15.65384615;25.71371977;39.14285714;34.44664611;54.46428571;34.85789367;68.10344828;27.13767127;52.92857143;31.36514764;89.71875;15.04023502
ALAY;37;4.216216216;3.047176609;5.675675676;2.427321959;13.05882353;21.96545659;66.78787879;35.03458789;61.19354839;38.30963269;39.11764706;39.04369324;53;37.78974088;38;32.97473781
BİAT;34;3.121212121;1.866774889;4.606060606;2.573171607;11.88888889;17.35009052;63.57142857;35.00309888;49.61538462;34.61106982;49.03846154;32.46226211;53.07407407;35.73398073;31;34.22300813
ALÇAK;34;2.558823529;1.691174533;5.088235294;2.644234976;5;11.97219;57.11111111;39.42113191;48.07142857;39.005155;37.03571429;39.0275137;53.18518519;42.16545892;30.48387097;29.70395144
HİLEKAR;38;2.526315789;2.023334712;5.162162162;2.46659362;10.29032258;17.66388698;61.25;35.01888891;40.64516129;37.59481204;37.875;32.4531921;53.21212121;37.45977641;51.17647059;33.4432768
MERMİ;35;4.457142857;3.389801809;5.428571429;2.778972666;3.285714286;13.81319054;65.5483871;31.70051389;65.03448276;30.04815511;77.70967742;26.06043431;53.25925926;36.88401008;93.28125;10.86347647
SUİKAST;36;3.722222222;3.402613375;6.638888889;2.439587527;6.764705882;16.64251369;68.57142857;36.21365173;67.54285714;37.67925225;71;34.4554273;53.45454545;39.48266305;74.54545455;33.97157903
OTORİTE;39;3.051282051;2.126879577;5.769230769;2.411175063;16.32352941;24.49826288;60.375;33.37446387;44.05882353;31.58916306;50.05714286;34.37504469;53.46875;40.03062084;31.54545455;31.52785565
SİNSİ;38;2.210526316;1.35881297;5.842105263;1.924610396;9.766666667;14.07047124;66.32258065;34.26114135;24.52;30.90053937;35.65517241;34.75555029;53.81481481;37.06961957;37.73529412;32.56258201
GÜBRE;36;4.694444444;1.582393205;4.944444444;2.02758751;22.19354839;26.83706312;15.36666667;23.98488509;17.06451613;22.56241046;18;24.58948672;53.83333333;33.46957788;89.0625;15.82145848
SİVRİSİNEK;37;2.513513514;1.77359681;5.216216216;2.428249657;6.393939394;16.58489409;54.67647059;35.99892304;21.72413793;34.93963831;28.43333333;36.02554968;53.85294118;37.62504997;94.29411765;9.294929904
KİN;34;1.647058824;1.177628664;5.735294118;2.260448112;5.40625;14.36586316;66.84848485;36.50609642;59.9375;35.42910914;36.7;37.06764553;54.12121212;38.10327871;26.09090909;31.17427188
SİGARA;37;3.416666667;2.567655963;5.555555556;2.65593077;31.73333333;39.84966;44.38709677;37.15075362;55.59375;36.69917761;29.66666667;31.68365772;54.19354839;40.01034812;90;13.82705681
