Words,Translation,Valence_Mean,ET,Arousal_Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET
pingouin,penguin,7.05,1.45,4.16,2.47,7.06,1.48,4.59,2.50,7.05,1.47,3.80,2.44
pion ,pawn,4.46,1.32,3.41,2.36,4.65,1.66,3.41,2.65,4.30,0.98,3.40,2.16
pipe,pipe,5.25,2.00,4.25,2.58,6.50,1.77,3.13,2.75,5.11,1.98,4.38,2.55
piscine ,swimming pool,7.41,1.66,5.97,2.55,7.41,2.15,5.82,2.67,7.40,1.14,6.10,2.51
pistolet,gun,2.43,1.79,6.84,2.18,4.00,1.86,6.33,2.90,2.14,1.64,6.94,2.04
pitié,pity,2.83,1.79,4.26,2.49,3.44,1.01,4.11,2.47,2.75,1.86,4.28,2.51
placard,cupboard,4.76,1.50,2.92,2.50,4.76,1.86,2.76,2.63,4.75,1.16,3.05,2.44
place ,place,5.30,1.02,2.97,2.36,5.59,1.23,3.12,2.52,5.05,0.76,2.85,2.28
plage,beach,7.82,1.61,5.78,2.80,7.44,1.92,5.17,3.05,8.03,1.40,6.13,2.64
plaisir,pleasure,8.22,1.49,7.86,1.55,8.00,1.58,7.88,1.87,8.40,1.43,7.85,1.27
planche ,plank,4.92,1.57,2.86,2.25,4.82,1.19,2.82,2.38,5.00,1.86,2.90,2.20
planète ,planet,6.43,1.63,4.86,2.37,6.47,1.50,5.29,2.31,6.40,1.76,4.50,2.42
plante ,plant,6.25,1.92,3.44,2.48,6.55,1.80,4.20,2.91,6.00,2.03,2.80,1.88
plat ,dish,6.38,1.64,4.27,2.72,6.29,1.61,4.53,2.48,6.45,1.70,4.05,2.96
pluie,rain,4.51,3.10,4.43,2.98,5.06,2.75,4.18,2.56,4.05,3.36,4.65,3.34
plume,feather,6.14,1.44,3.35,2.49,5.59,1.23,2.41,2.00,6.60,1.47,4.15,2.62
pneu,tire,4.73,1.52,3.51,2.18,5.53,1.01,4.29,1.96,4.05,1.57,2.85,2.18
poche ,pocket,4.84,1.44,2.62,1.70,4.58,1.37,2.92,1.75,5.05,1.50,2.38,1.66
poêle,frying pan,5.05,2.20,3.38,2.30,5.00,2.15,4.00,2.45,5.10,2.29,2.85,2.08
poids ,weight,3.81,1.78,3.70,3.01,4.41,1.84,3.12,2.60,3.30,1.59,4.20,3.30
poignée,handle,5.09,0.94,3.66,2.04,4.63,1.06,2.38,1.77,5.14,0.91,3.80,2.03
poing ,fist,3.53,1.97,3.63,2.44,4.06,1.95,4.35,2.55,3.10,1.92,3.05,2.25
poire,pear,5.92,1.80,3.32,2.17,6.12,1.76,3.76,2.28,5.75,1.86,2.95,2.06
poireau ,leek,4.72,2.35,3.61,2.48,5.41,1.87,3.76,2.51,4.14,2.60,3.48,2.50
poisson,fish,6.49,1.88,4.59,2.51,6.82,2.13,5.06,2.68,6.20,1.64,4.20,2.35
poivron,sweet pepper,5.57,1.94,3.99,2.22,6.25,1.06,4.67,2.02,5.45,2.05,3.86,2.24
politique,politics,3.11,2.13,3.72,3.16,2.82,1.91,4.00,2.85,3.35,2.32,3.47,3.47
pomme,apple,6.65,1.65,4.00,2.69,7.24,1.68,5.12,2.37,6.15,1.50,3.05,2.63
pont ,bridge,5.08,1.61,4.00,2.40,5.47,1.46,4.24,2.41,4.75,1.68,3.80,2.44
population,population,5.22,1.27,4.42,2.47,4.33,1.41,5.00,2.78,5.34,1.22,4.34,2.44
porte,door,5.02,1.08,3.22,2.24,4.89,1.02,3.67,2.40,5.09,1.12,2.97,2.15
possibilité,possibility,7.19,1.18,5.62,2.19,6.38,1.60,4.25,2.60,7.28,1.10,5.77,2.10
poste ,post office,4.30,1.84,3.11,2.27,4.24,1.71,2.76,1.99,4.35,1.98,3.40,2.50
postulat,postulate,5.04,1.01,3.53,2.03,4.89,0.33,3.89,2.26,5.06,1.06,3.49,2.01
pot ,jar,5.11,1.31,3.22,1.86,5.71,1.45,3.82,1.91,4.60,0.94,2.70,1.69
poteau ,post,4.32,1.67,3.30,2.59,4.71,1.61,3.94,2.90,4.00,1.69,2.75,2.22
poubelle,garbage can,2.95,1.67,3.86,2.67,3.12,1.90,4.65,2.60,2.80,1.47,3.20,2.61
pouce,thumb,5.08,1.66,3.00,2.20,5.12,2.06,3.06,2.11,5.05,1.28,2.95,2.33
poule,hen,5.11,1.91,3.35,2.35,5.94,1.39,3.18,2.32,4.40,2.04,3.50,2.42
poulet ,chicken,6.38,1.93,4.60,2.76,6.17,2.09,4.94,2.46,6.50,1.85,4.41,2.93
poupée,doll,5.19,2.25,3.27,2.55,4.76,2.33,3.06,2.36,5.56,2.16,3.45,2.74
poussière,dust,3.08,1.65,3.42,2.45,3.50,1.58,4.06,2.39,2.84,1.67,3.06,2.45
poussin ,chick,6.47,1.75,4.47,2.38,6.47,1.84,3.53,1.91,6.48,1.72,5.24,2.49
pré ,meadow,6.84,1.69,3.92,2.36,7.18,1.67,4.00,2.42,6.55,1.70,3.85,2.37
présent,present,6.58,1.46,4.62,2.28,6.00,1.51,2.88,1.89,6.65,1.46,4.82,2.25
prestige,prestige,7.12,1.77,5.45,2.33,6.42,2.43,5.42,3.03,7.25,1.61,5.46,2.20
prise,plug,3.92,1.80,2.95,2.53,3.94,1.92,3.00,2.62,3.90,1.74,2.90,2.51
prix ,price,3.72,2.06,4.44,2.41,3.72,1.90,5.33,1.97,3.72,2.17,3.94,2.51
profond,deep,5.32,1.64,3.97,2.32,6.11,1.76,3.78,2.73,5.22,1.61,4.00,2.29
propre,clean,7.45,1.45,4.09,2.39,6.75,1.67,4.50,2.33,7.53,1.41,4.04,2.40
prune,plum,5.11,1.87,3.65,2.61,5.12,1.80,3.88,2.76,5.10,1.97,3.45,2.52
puissance,power,6.35,2.11,6.66,2.26,6.83,1.59,5.83,2.59,6.26,2.20,6.82,2.18
puits,well,4.11,1.82,3.35,2.36,4.00,1.54,3.12,2.37,4.20,2.07,3.55,2.39
pull-over,sweater,5.82,2.28,3.03,2.34,5.88,1.62,2.76,2.11,5.76,2.74,3.24,2.55
pur,pure,7.31,1.56,3.32,2.29,6.11,1.17,3.67,2.06,7.47,1.54,3.28,2.33
puzzle ,jigsaw-puzzle,4.78,1.96,3.54,2.42,5.12,1.62,3.47,2.10,4.50,2.21,3.60,2.72
pyjama,pajamas,6.15,1.74,3.41,2.48,5.38,1.06,3.25,1.98,6.24,1.78,3.42,2.54
qualité,quality,7.71,1.35,4.79,2.41,7.33,1.61,4.92,2.68,7.78,1.29,4.77,2.38
quatre,four,5.27,0.84,2.59,1.95,5.29,0.69,2.47,1.81,5.25,0.97,2.70,2.11
quiche,quiche,6.62,2.07,4.54,2.61,6.82,2.04,5.12,2.50,6.45,2.14,4.05,2.67
quille ,skittle,4.59,1.42,2.84,2.11,4.59,1.62,2.53,1.91,4.60,1.27,3.10,2.29
quinze,fifteen,5.30,1.28,3.52,2.43,5.67,1.50,4.72,2.44,5.09,1.12,2.84,2.17
racisme,racism,1.36,0.86,6.86,2.34,2.11,1.45,6.89,2.03,1.26,0.70,6.85,2.40
radio,radio,6.44,1.60,5.03,2.49,5.50,0.76,3.25,2.19,6.55,1.64,5.23,2.45
rage,rage,3.27,2.49,7.16,2.06,4.65,2.74,7.29,1.61,2.10,1.52,7.05,2.42
rail,rail,4.72,1.69,3.48,2.49,5.28,1.81,4.17,2.64,4.41,1.56,3.09,2.36
raisin,grape,6.34,1.88,3.82,2.28,5.94,1.63,4.11,2.30,6.56,2.00,3.66,2.29
rame,oar,4.57,1.27,3.67,2.07,5.08,0.90,3.25,2.01,4.47,1.31,3.75,2.09
rampe ,banister,5.00,1.23,3.34,2.26,4.94,1.51,4.44,2.45,5.03,1.06,2.72,1.90
rang,row,4.19,1.68,3.27,2.12,4.35,1.77,3.82,1.98,4.05,1.64,2.80,2.17
rapide,fast,6.43,1.41,5.95,2.68,6.44,1.13,5.89,2.98,6.43,1.45,5.96,2.67
raquette,racket,5.03,1.71,3.24,2.36,5.82,1.42,3.24,2.51,4.35,1.66,3.25,2.29
rasoir,razor,4.33,1.77,4.15,2.34,4.25,1.04,4.13,2.90,4.34,1.84,4.16,2.30
rat,rat,3.97,2.28,4.78,2.58,4.41,2.40,4.59,2.60,3.60,2.16,4.95,2.63
râteau,rake,4.38,1.88,3.19,2.66,4.00,2.09,3.76,3.03,4.70,1.66,2.70,2.27
règle,ruler,3.89,1.81,3.89,2.51,4.23,1.86,4.41,2.32,3.60,1.76,3.45,2.65
regret,regret,2.30,1.65,6.16,2.70,2.59,1.91,7.00,2.42,2.05,1.39,5.45,2.78
reine ,queen,6.00,1.91,3.70,2.47,5.76,2.14,4.29,2.31,6.20,1.74,3.20,2.55
religion,religion,4.16,2.27,5.09,2.53,3.00,2.52,6.08,2.57,4.37,2.18,4.91,2.50
remord,remorse,2.00,1.29,5.79,2.40,3.11,1.05,5.11,1.76,1.85,1.25,5.88,2.47
renard,fox,5.71,2.13,4.21,2.21,5.65,2.23,3.59,2.15,5.76,2.10,4.71,2.17
renne,reindeer,5.77,1.38,3.72,2.01,5.50,1.41,2.88,2.42,5.80,1.38,3.82,1.96
repos,rest,7.73,1.57,2.39,2.41,7.17,1.95,2.58,3.06,7.83,1.49,2.35,2.30
république,republic,5.84,1.49,4.69,1.89,5.56,1.01,4.56,1.67,5.88,1.54,4.71,1.92
requin,shark,4.43,2.33,5.51,2.80,5.12,2.15,5.29,2.59,3.85,2.37,5.70,3.03
reste,rest,4.70,1.65,3.19,2.01,5.47,1.28,3.47,1.84,4.05,1.67,2.95,2.16
rêve,dream,8.05,1.27,6.16,2.53,7.76,1.56,5.71,2.69,8.30,0.92,6.55,2.39
réveil,alarm clock,3.27,2.04,4.72,2.69,2.75,1.67,6.75,1.91,3.32,2.08,4.49,2.68
revolver,revolver,3.39,2.25,5.08,3.21,4.18,2.16,5.41,2.94,2.76,2.17,4.81,3.46
rhinocéros,rhinoceros,5.34,1.94,4.63,2.75,5.71,1.93,4.35,2.87,5.05,1.94,4.86,2.69
riche,rich man/woman,7.03,2.01,5.95,2.05,6.65,2.50,6.35,1.87,7.35,1.46,5.60,2.19
richesse,richness,7.39,1.68,5.75,2.73,6.67,1.72,5.25,2.90,7.52,1.65,5.85,2.72
rideau,curtain,5.19,1.20,2.89,1.84,5.53,1.42,3.00,1.84,4.90,0.91,2.80,1.88
rien,nothing,4.51,1.94,2.68,2.15,5.00,2.12,3.00,2.42,4.10,1.71,2.40,1.90
rire,laughter,8.48,0.95,7.20,2.01,8.22,1.00,6.94,2.21,8.63,0.91,7.34,1.91
rivière,river,6.80,1.74,4.78,2.66,6.17,1.65,4.67,2.66,7.16,1.71,4.84,2.70
robe,dress,7.08,1.79,5.97,2.01,6.29,1.83,5.94,1.98,7.75,1.48,6.00,2.08
robinet,faucet,5.16,1.04,2.35,1.96,5.12,0.99,2.41,2.03,5.20,1.11,2.30,1.95
robot ,robot,5.30,1.98,4.32,2.85,6.24,2.17,5.12,2.69,4.50,1.43,3.65,2.87
rond ,circle,5.36,1.26,3.12,2.14,5.61,1.14,4.06,2.15,5.22,1.31,2.59,1.98
ronde ,round,4.86,1.73,3.34,2.06,5.17,1.29,3.11,2.30,4.69,1.93,3.47,1.93
rose ,rose,6.86,1.81,4.95,2.94,6.12,1.90,4.35,3.08,7.50,1.50,5.45,2.80
roue,wheel,5.24,1.57,3.27,2.45,5.47,1.23,3.12,2.29,5.05,1.82,3.40,2.62
rouge,red,5.82,1.86,5.45,2.41,5.33,1.22,5.22,1.79,5.88,1.93,5.49,2.49
route ,road,5.46,2.29,4.68,2.65,5.41,2.24,5.00,2.52,5.50,2.40,4.40,2.78
royaume,kingdom,5.72,1.99,4.42,2.46,5.25,1.75,3.50,2.98,5.77,2.02,4.52,2.40
ruche,hive,4.41,1.84,5.12,2.62,4.92,1.51,4.75,2.83,4.31,1.89,5.19,2.59
rue,street,4.96,1.59,3.66,2.22,5.06,1.39,3.78,2.07,4.91,1.71,3.59,2.33
rugueux,rough,3.44,1.59,4.00,2.06,4.33,1.73,4.78,1.09,3.32,1.54,3.90,2.15
sabot ,clog,4.59,1.83,3.28,2.12,5.12,1.17,3.59,2.18,4.15,2.18,3.00,2.08
sage,wise man,7.27,1.43,3.22,2.08,7.65,1.06,3.59,2.06,6.95,1.64,2.90,2.10
salade,salad,5.90,1.39,3.37,2.03,5.00,0.53,2.75,1.98,6.00,1.42,3.44,2.04
sale,dirty,2.08,1.26,4.95,2.22,2.92,1.44,5.42,2.11,1.92,1.18,4.86,2.25
salière,salt shaker,4.76,1.48,3.03,2.37,5.00,1.46,3.06,2.33,4.55,1.50,3.00,2.47
salle,room,4.88,1.14,3.16,2.14,5.06,1.39,3.67,2.30,4.78,0.97,2.88,2.03
salopette,overalls,5.08,1.57,3.13,2.08,4.44,2.70,5.44,2.65,5.16,1.37,2.82,1.80
sandale,sandal,5.77,1.95,4.22,2.49,5.75,2.55,4.25,2.96,5.77,1.90,4.21,2.46
sandwich,sandwich,7.38,1.36,5.14,2.53,7.59,1.23,5.47,2.60,7.20,1.47,4.85,2.50
sang ,blood,4.47,2.30,4.24,2.47,4.35,2.23,4.59,2.48,4.57,2.40,3.95,2.48
sanglier,wild boar,4.98,1.85,4.70,2.32,5.67,1.68,4.83,2.55,4.59,1.85,4.63,2.23
santé,health,7.08,1.95,4.32,2.11,7.41,1.66,4.65,2.18,6.80,2.17,4.05,2.06
sapin ,fir tree,7.16,1.71,5.70,2.76,7.35,1.22,6.00,2.50,7.00,2.05,5.45,3.00
satire,satire,3.47,1.92,5.25,2.24,5.08,1.83,5.00,2.41,3.17,1.80,5.29,2.22
saucisson,dry sausage,6.65,1.97,4.31,2.58,8.00,1.58,5.00,2.96,6.47,1.95,4.22,2.53
sauterelle,grasshopper,4.65,2.06,3.38,2.81,5.18,1.88,3.53,2.53,4.20,2.14,3.25,3.09
sauvetage,rescue,7.53,1.47,5.72,2.74,7.63,1.60,6.75,1.75,7.52,1.47,5.61,2.81
savon,soap,6.21,1.50,3.49,2.09,5.92,1.38,4.08,2.75,6.26,1.52,3.38,1.96
scie,saw,4.35,1.89,3.62,2.60,5.12,1.76,3.88,2.96,3.70,1.78,3.40,2.30
seau ,bucket,4.89,1.22,3.08,2.13,5.18,0.73,3.41,2.27,4.65,1.50,2.80,2.02
sécurité,safety,5.76,2.20,4.32,2.77,5.47,2.27,4.41,2.96,6.00,2.18,4.25,2.67
sein ,breast,6.74,1.69,5.26,2.90,7.53,1.70,6.29,2.93,6.10,1.41,4.43,2.66
seize,sixteen,5.30,2.18,3.92,2.82,6.00,2.00,4.12,2.52,4.70,2.20,3.75,3.11
sel,salt,5.28,1.49,3.70,2.07,5.13,0.35,2.13,1.81,5.30,1.57,3.87,2.03
selle,saddle,4.65,2.30,3.27,2.41,4.41,2.03,3.53,2.37,4.85,2.54,3.05,2.48
senteur,fragrance,6.62,1.53,4.62,2.58,5.75,0.97,4.17,2.29,6.78,1.57,4.71,2.63
serpent,snake,5.08,2.29,5.68,2.48,5.76,2.19,5.76,2.02,4.50,2.26,5.60,2.87
serrure,lock,4.55,1.24,3.42,1.96,4.56,1.33,4.22,1.86,4.54,1.24,3.31,1.96
serviette,towel,5.15,1.16,3.19,1.93,5.13,0.83,2.00,1.85,5.15,1.19,3.32,1.90
seul,alone,2.34,1.62,3.77,2.67,3.42,2.07,3.67,2.84,2.14,1.46,3.78,2.65
siècle,century,5.29,1.20,3.84,2.05,4.78,0.67,4.33,2.00,5.35,1.24,3.78,2.06
sieste,nap,6.92,2.07,3.46,2.71,6.29,2.31,3.41,2.85,7.45,1.73,3.50,2.67
sifflet,whistle,4.24,2.05,3.84,2.80,4.41,2.12,4.12,3.04,4.10,2.02,3.62,2.65
silence,silence,5.71,2.68,2.97,2.60,6.35,2.42,2.35,2.42,5.19,2.82,3.48,2.69
singe,monkey,6.32,1.99,4.52,2.44,5.83,1.82,4.89,2.56,6.59,2.06,4.31,2.39
sirène ,mermaid,5.65,2.63,4.65,2.79,5.82,2.92,5.88,2.62,5.50,2.42,3.60,2.54
ski,ski,7.03,2.41,6.51,2.61,7.35,2.34,6.41,2.65,6.75,2.49,6.60,2.64
soeur,sister,6.81,2.23,5.00,2.58,7.06,1.98,5.18,2.38,6.60,2.46,4.85,2.80
soif,thirst,4.16,2.05,5.15,2.22,4.50,1.85,5.75,1.04,4.13,2.08,5.08,2.31
soin ,care,6.05,1.79,4.27,2.65,5.88,1.80,4.76,2.33,6.20,1.82,3.85,2.89
sol,ground,4.78,1.25,2.57,2.05,5.00,1.41,2.59,2.37,4.60,1.10,2.55,1.79
soleil,sun,7.95,1.58,5.89,2.87,7.76,1.52,5.29,2.91,8.10,1.64,6.38,2.82
sombre,dark,2.86,1.67,4.00,2.35,3.92,1.56,4.17,2.72,2.66,1.62,3.97,2.29
sommeil,sleep,7.25,2.19,3.73,3.00,7.06,2.30,3.29,2.93,7.42,2.14,4.10,3.08
son,sound,7.63,1.76,5.95,2.80,7.53,2.12,6.12,2.91,7.71,1.45,5.81,2.77
songe,dream,6.51,1.74,3.72,2.42,6.67,1.22,3.67,2.40,6.49,1.80,3.73,2.44
sort,fate,5.19,2.05,4.00,2.68,5.35,2.12,4.29,2.85,5.05,2.04,3.75,2.57
sou ,cent,7.16,1.46,5.30,2.38,7.00,1.54,5.00,1.84,7.30,1.42,5.55,2.78
souffle,breath,5.92,1.85,4.35,2.38,6.06,1.52,4.18,2.43,5.80,2.12,4.50,2.40
souffrance,suffering,2.05,1.84,5.57,2.98,2.35,1.69,5.76,2.44,1.80,1.96,5.40,3.42
soupe,soup,5.73,2.33,2.92,2.31,5.35,2.26,3.24,2.54,6.05,2.39,2.65,2.13
souplesse,flexibility,6.89,1.54,4.59,2.54,5.63,1.41,3.50,1.31,7.03,1.50,4.72,2.62
sourcil,eyebrow,4.94,1.28,2.98,1.76,4.83,0.99,3.28,1.74,5.00,1.44,2.81,1.77
souris,mouse,4.97,2.32,3.89,2.41,5.88,1.45,3.76,2.56,4.20,2.65,4.00,2.34
souvenir,memory,7.21,2.08,5.92,2.53,6.71,2.14,5.65,2.64,7.62,1.99,6.14,2.48
spaghetti ,spaghetti,7.54,1.32,5.22,2.38,7.47,1.46,5.18,2.51,7.60,1.23,5.25,2.34
sport,sport,6.73,2.46,6.59,2.54,7.71,1.83,6.53,2.94,5.90,2.65,6.65,2.23
squelette,skeleton,3.62,1.86,4.24,2.63,4.12,1.41,4.47,2.67,3.20,2.12,4.05,2.65
stabilité,stability,6.75,1.70,3.74,2.49,5.92,2.07,3.67,2.53,6.91,1.60,3.75,2.50
steak,steak,6.54,1.89,4.68,2.41,7.50,1.15,5.56,1.92,6.00,2.02,4.19,2.55
stop,stop sign,3.86,1.57,4.14,2.30,4.35,1.73,4.53,2.15,3.45,1.32,3.80,2.42
stylo,pen,4.92,1.32,3.14,2.18,5.29,1.36,3.53,2.32,4.60,1.23,2.80,2.04
sucre,sugar,6.69,1.53,5.18,2.28,6.56,1.24,5.22,1.48,6.71,1.57,5.18,2.37
sueur,sweat,2.70,1.73,4.96,2.63,4.13,1.64,3.75,1.91,2.54,1.67,5.10,2.67
supercherie,fraud,3.32,2.22,5.24,2.39,2.67,2.02,5.67,2.06,3.45,2.24,5.16,2.46
sûre,sure,6.95,1.57,3.97,2.33,5.11,1.27,3.56,1.74,7.19,1.45,4.03,2.41
surprise,surprise,7.60,1.69,7.42,1.98,6.28,1.93,6.17,2.43,8.34,0.94,8.13,1.24
table,table,5.51,1.39,3.65,2.19,5.71,1.36,4.12,2.12,5.35,1.42,3.25,2.22
tableau,picture,5.58,1.59,3.64,2.41,5.39,1.46,3.89,1.81,5.69,1.67,3.50,2.70
tabouret,stool,4.81,0.97,2.38,1.92,4.65,1.00,2.65,2.12,4.95,0.94,2.15,1.76
taille,size,5.35,1.06,3.22,2.31,5.29,1.16,3.24,2.66,5.40,0.99,3.20,2.04
talon ,heel,6.27,2.02,4.70,2.58,5.12,1.96,3.65,2.60,7.25,1.52,5.60,2.26
tambour,drum,5.00,2.03,4.11,2.84,5.35,1.93,3.82,2.94,4.70,2.11,4.35,2.80
tambourin,tambourine,5.49,1.69,3.86,2.42,4.88,2.03,3.88,2.60,6.00,1.17,3.85,2.32
tampon ,stamp,4.08,1.96,3.86,2.47,4.41,1.80,4.29,2.37,3.80,2.09,3.50,2.56
tante,aunt,5.84,2.15,3.95,2.61,5.76,2.05,3.82,2.21,5.90,2.29,4.05,2.96
tapis,carpet,5.35,1.10,3.28,1.97,5.13,0.35,2.25,1.83,5.38,1.15,3.39,1.96
tarte,pie,7.54,1.28,5.97,2.09,7.53,1.07,6.00,1.97,7.55,1.47,5.95,2.24
tartine ,slice of bread,6.70,1.71,5.14,2.47,5.89,1.94,5.00,2.50,7.16,1.39,5.22,2.49
tasse,cup,5.76,1.55,3.59,2.29,6.06,1.64,4.00,2.52,5.50,1.47,3.25,2.07
taupe ,mole,4.84,1.95,3.05,2.10,5.18,1.91,3.29,2.17,4.57,1.99,2.86,2.08
taureau (bison),bull,5.54,2.60,5.68,2.61,6.53,1.84,5.65,2.55,4.70,2.89,5.70,2.74
téléphone,telephone,6.61,2.21,5.16,2.62,5.35,2.37,5.12,2.52,7.62,1.47,5.19,2.75
télévision,television,6.19,2.41,4.59,2.55,5.65,2.78,4.18,2.70,6.65,2.01,4.95,2.44
témérité,recklessness,4.35,2.22,3.82,2.26,4.92,1.68,5.00,1.60,4.25,2.30,3.60,2.30
temps,time,5.89,2.13,4.08,2.38,5.94,2.41,4.71,2.05,5.85,1.93,3.55,2.56
tendance,tendancy,5.45,1.46,4.05,2.18,3.89,1.76,5.44,1.88,5.66,1.30,3.87,2.16
tendresse,tenderness,8.00,1.22,5.76,2.49,7.82,1.55,5.53,2.67,8.15,0.88,5.95,2.37
tennis,tennis,5.59,1.90,4.53,2.44,6.00,1.60,4.75,2.55,5.55,1.93,4.51,2.45
tente ,tent,6.30,2.12,4.51,2.96,5.65,2.32,4.00,3.04,6.85,1.81,4.95,2.89
terre,world,5.76,1.76,3.51,2.33,6.00,1.54,3.81,2.32,5.57,1.94,3.29,2.37
tétine ,pacifier,6.08,2.17,3.73,2.64,5.71,2.20,3.59,2.87,6.40,2.14,3.85,2.50
théorie,theory,4.96,1.56,4.17,2.18,5.42,1.98,4.75,2.42,4.88,1.47,4.06,2.14
thermomètre,thermometer,4.35,1.72,2.81,2.08,5.18,1.29,2.35,1.84,3.65,1.76,3.20,2.24
thon ,tuna,5.35,2.00,3.43,2.47,5.88,2.32,3.94,2.59,4.90,1.62,3.00,2.34
tigre,tiger,7.32,1.75,6.41,1.98,7.53,1.55,6.53,1.70,7.15,1.93,6.30,2.23
timbre,stamp,5.24,1.46,3.46,2.22,5.35,0.86,3.76,2.08,5.15,1.84,3.20,2.35
tirelire ,piggy-bank,6.32,2.24,4.78,2.65,6.06,2.38,3.88,3.06,6.55,2.14,5.55,2.01
tiret ,dash,4.81,1.31,2.81,1.97,5.06,1.34,3.06,2.08,4.60,1.27,2.60,1.90
titre,title,5.22,1.51,2.78,2.25,5.35,1.58,3.47,2.79,5.10,1.48,2.20,1.51
toilette ,lavatory,4.57,1.83,2.92,2.35,5.00,1.77,3.06,2.16,4.20,1.85,2.80,2.55
toit ,roof,5.32,1.27,3.16,2.22,5.53,1.28,3.71,2.11,5.15,1.27,2.70,2.25
tomate,tomato,5.08,1.72,3.38,2.48,5.53,1.23,3.35,2.62,4.70,2.00,3.40,2.41
tondeuse,lawnmower,4.24,1.65,3.55,2.52,4.71,1.53,4.06,2.77,3.86,1.68,3.14,2.29
tonneau,barrel,4.87,1.79,3.32,2.39,5.41,2.21,3.71,2.69,4.43,1.25,3.00,2.14
torchon ,dish cloth,4.43,1.66,2.62,2.25,4.59,1.70,3.24,2.66,4.30,1.66,2.10,1.74
tortue,turtle,5.54,1.88,3.08,2.44,5.94,1.68,3.47,2.90,5.20,2.02,2.75,2.00
touche,button,4.97,1.54,3.39,2.84,4.82,1.59,3.85,2.76,5.10,1.52,3.00,2.92
toupie,top,5.35,2.07,3.68,2.39,5.94,2.08,3.82,2.51,4.90,2.00,3.57,2.36
tournevis,screwdriver,4.81,1.60,3.65,2.28,5.35,1.27,4.06,2.28,4.35,1.73,3.30,2.27
tracteur,tractor,4.30,1.88,2.89,2.37,4.76,1.79,2.94,2.28,3.90,1.92,2.85,2.50
trahison,betrayal,1.52,1.20,7.32,2.51,2.56,2.60,6.78,2.22,1.38,0.81,7.40,2.55
train,train,5.32,1.56,3.62,2.36,5.59,1.91,3.59,2.53,5.10,1.21,3.65,2.28
trait ,line,4.80,0.70,2.60,1.82,4.94,0.42,3.11,1.81,4.72,0.81,2.31,1.79
traître,traitor,1.52,1.19,6.27,2.47,1.75,1.49,6.38,2.67,1.49,1.16,6.25,2.47
tranquille,quiet,7.43,1.38,2.30,2.13,7.67,1.56,2.92,2.71,7.38,1.35,2.18,2.01
transport,transportation,5.01,1.59,4.69,2.31,5.22,1.30,5.67,2.65,4.99,1.63,4.56,2.25
travail,work,4.17,2.24,4.33,2.64,4.50,2.61,4.63,3.16,3.90,1.92,4.10,2.20
trèfle ,clover,6.78,1.49,4.22,2.52,6.06,1.35,4.50,2.31,7.19,1.42,4.06,2.65
trente,thirty,5.14,2.20,3.51,2.70,5.76,1.95,3.65,2.67,4.60,2.30,3.40,2.80
triangle,triangle,5.05,1.33,3.51,2.39,5.12,1.76,3.59,2.35,5.00,0.86,3.45,2.48
tristesse,sadness,2.08,1.53,5.41,2.82,2.59,1.91,6.24,2.25,1.65,0.99,4.70,3.11
troc,barter,5.80,1.64,4.20,2.37,6.13,1.46,2.50,1.41,5.76,1.67,4.39,2.39
tromperie,trickery,1.73,1.39,7.12,2.18,2.42,2.27,6.42,2.43,1.60,1.14,7.25,2.12
trompette,trumpet,5.78,1.92,4.35,2.93,6.35,2.15,5.29,3.04,5.30,1.59,3.55,2.65
tronc ,trunk,4.97,1.66,3.19,2.17,5.29,1.10,3.53,2.03,4.70,2.00,2.90,2.29
trou,hole,4.68,1.68,3.19,2.49,4.71,1.26,2.76,2.31,4.65,2.01,3.55,2.65
trousse ,pencil case,4.76,1.21,2.16,2.02,4.82,1.51,2.35,2.52,4.70,0.92,2.00,1.52
truc ,thing,5.38,1.16,3.11,2.27,5.18,0.81,2.88,2.39,5.55,1.39,3.30,2.20
tulipe,tulip,6.99,1.36,3.04,2.24,6.22,1.56,3.44,2.24,7.09,1.31,2.99,2.25
tunnel ,tunnel,4.08,1.71,3.59,2.27,4.18,1.55,3.82,2.38,4.00,1.86,3.40,2.21
tuyau,pipe,4.92,1.04,2.49,1.85,4.76,1.25,2.41,1.97,5.05,0.83,2.55,1.79
uni,plain,7.19,1.75,5.15,2.35,7.13,2.03,4.38,2.20,7.20,1.73,5.24,2.37
usine ,factory,3.18,2.02,3.61,2.87,3.88,2.20,4.53,2.94,2.62,1.72,2.86,2.65
usure,wear,2.92,1.40,4.24,2.28,3.58,1.56,4.50,2.88,2.80,1.35,4.19,2.17
vache,cow,5.53,2.50,3.37,2.35,5.82,2.27,2.71,1.53,5.29,2.70,3.90,2.77
vague,wave,6.86,1.95,5.00,2.72,7.28,1.71,5.33,2.54,6.63,2.06,4.81,2.83
vainqueur ,winner,7.64,1.32,6.74,2.22,7.28,1.49,6.61,2.15,7.84,1.19,6.81,2.29
vaisselle,dishes,3.81,1.64,3.90,2.39,3.67,1.50,5.33,2.55,3.82,1.67,3.71,2.32
valeur,value,6.89,1.60,4.90,2.25,5.88,0.99,4.00,2.67,7.00,1.62,5.00,2.20
valise,suitcase,6.70,2.08,6.00,2.63,6.11,2.22,5.28,2.76,7.03,1.96,6.41,2.51
